,fund_symbol,quote_type,region,fund_short_name,fund_long_name,currency,fund_category,fund_family,exchange_code,exchange_name,exchange_timezone,avg_vol_3month,avg_vol_10day,total_net_assets,day50_moving_average,day200_moving_average,week52_high_low_change,week52_high_low_change_perc,week52_high,week52_high_change,week52_high_change_perc,week52_low,week52_low_change,week52_low_change_perc,fund_yield,inception_date,annual_holdings_turnover,investment_type,size_type,fund_annual_report_net_expense_ratio,category_annual_report_net_expense_ratio,asset_stocks,asset_bonds,fund_sector_basic_materials,fund_sector_communication_services,fund_sector_consumer_cyclical,fund_sector_consumer_defensive,fund_sector_energy,fund_sector_financial_services,fund_sector_healthcare,fund_sector_industrials,fund_sector_real_estate,fund_sector_technology,fund_sector_utilities,fund_price_book_ratio,fund_price_cashflow_ratio,fund_price_earning_ratio,fund_price_sales_ratio,top10_holdings,top10_holdings_total_assets,returns_as_of_date,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,category_return_5years,years_up,years_down,fund_return_2020,fund_return_2019,fund_return_2018,fund_return_2017,category_return_2015,category_return_2014,category_return_2013,category_return_2012,category_return_2011,category_return_2010,category_return_2009,category_return_2008,category_return_2007,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,fund_r_squared_3years,fund_stdev_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years
641,FLAX,ETF,US,American Beacon AHL Managed Fut,American Beacon AHL Managed Futures Strategy Fund A Class,USD,,American Beacon,PCX,NYSEArca,America/New_York,1280,1800.0,35294876.0,27.101,28.256,5.559,0.17531,31.709,-5.4966,-0.17335,26.15,0.0624,0.00239,0.0148,2018-02-06,0.1164,Blend,Large,0.0019,0.0046,0.9974,0.0,0.0538,0.1141,0.1609,0.0559,0.0305,0.1873,0.0414,0.0657,0.0439,0.2234,0.0232,1.88,11.32,18.25,1.36,"""United States Treasury Bills"": 0.0395",0.3005,2021-05-31,0.0654,0.075,0.0106,-0.001,-0.0022,0.032,0.5041,0.0905,0.0994,0.0496,0.0926,2.0,0.0,0.24964,0.17323,-0.07582,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,2.07,0.9,0.94,76.96,18.15,0.55,9.83
642,FLBL,ETF,US,American Beacon AHL Managed Fut,American Beacon AHL Managed Futures Strategy Fund C Class,USD,Bank Loan,American Beacon,BTS,BATS,America/New_York,33062,55770.0,210757056.0,25.012,24.988,0.744,0.02937,25.334,-0.604,-0.02384,24.59,0.14,0.00569,0.0297,2018-05-30,0.4587,,,0.0045,0.0077,0.9979,0.0,0.1482,0.0,0.0,0.0,0.0,0.756,0.0,0.0958,0.0,0.0,0.0,2.92,13.24,22.04,1.9649999999999999,"""United States Treasury Bills"": 0.0395",0.1687,2021-06-30,0.0228,0.0635,0.0004,0.0047,0.0132,0.0239,0.0836,0.0469,0.0337,0.0245,0.0459,2.0,0.0,0.023,0.07736,-0.07582,0.15879,-0.01425,0.01053,0.04835,0.10259,-0.01711,0.16532,0.32673,-0.39004,0.08189,2.31,0.05,0.31,0.08,5.38,0.46,51.95
643,FLBR,ETF,US,American Beacon AHL Managed Fut,American Beacon AHL Managed Futures Strategy Fund R5 Class,USD,,American Beacon,PCX,NYSEArca,America/New_York,66001,33720.0,118467104.0,19.236,21.811,8.71,0.33181,26.25,-7.89,-0.30057,17.54,0.82,0.04675,0.0219,2017-11-03,0.2101,Blend,Large,0.0019,0.0046,0.9979,0.0,0.2242,0.0127,0.0808,0.0955,0.1137,0.2651,0.058,0.0637,0.0099,0.0134,0.0629,2.08,5.96,19.65,1.58,"""United States Treasury Bills"": 0.0395",0.5037,2021-05-31,0.0605,0.075,0.096,-0.001,0.224,0.032,0.4855,0.0905,0.064,0.0496,0.0926,1.0,2.0,-0.19408,0.27394,-0.00877,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,-0.61,1.54,1.19,47.97,39.54,0.33,3.18
644,FLCA,ETF,US,American Beacon AHL Managed Fut,American Beacon AHL Managed Futures Strategy Fund Investor Class,USD,,American Beacon,PCX,NYSEArca,America/New_York,7046,8020.0,25224864.0,34.364,32.723,8.859,0.24739,35.81,-2.51,-0.07009,26.951,6.349,0.23558,0.0217,2017-11-02,0.0457,Blend,Large,0.0009,0.0046,0.9981,0.0,0.0859,0.0331,0.0343,0.0468,0.1411,0.4101,0.0101,0.108,0.0,0.1109,0.0197,2.15,12.34,18.9,2.07,"""United States Treasury Bills"": 0.0395",0.5232,2021-04-30,0.1554,0.075,0.0434,-0.001,0.1657,0.032,0.4992,0.0905,0.123,0.0496,0.0926,2.0,1.0,0.05912,0.28672,-0.15796,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,4.49,1.12,1.14,86.09,21.43,0.57,9.45
645,FLCB,ETF,US,American Beacon AHL Managed Fut,American Beacon AHL Managed Futures Strategy Fund Y Class,USD,,American Beacon,PCX,NYSEArca,America/New_York,92650,27740.0,1610593024.0,25.26,25.407,1.439,0.05455,26.38,-1.035,-0.03923,24.941,0.404,0.0162,0.0244,2019-09-17,0.9099,,,0.0015,0.0046,0.9979,0.0,0.027450000000000002,0.0576,0.1105,0.0543,0.0218,0.1311,0.0941,0.0896,0.02445,0.13425,0.0197,2.92,13.24,22.04,1.9649999999999999,"""United States Treasury Bills"": 0.0395",0.3045,2021-05-31,-0.0233,0.075,0.0013,-0.001,-0.0013,0.032,-0.0011,0.0905,0.0864,0.0496,0.0926,1.0,0.0,0.07664,0.20515,-0.07582,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,-0.715,1.02,0.88,78.01,19.66,0.56,8.4
646,FLCH,ETF,US,"American Fds, American High-Inc",American High-Income Municipal Bond Fund Class F-2,USD,,American Funds,PCX,NYSEArca,America/New_York,30937,26460.0,115213624.0,27.127,30.037,13.44,0.35046,38.35,-13.33,-0.34759,24.91,0.11,0.00442,0.0091,2017-11-02,0.1597,Blend,Large,0.0019,0.0046,1.0,0.0,0.0305,0.2137,0.2995,0.0606,0.0162,0.1581,0.0587,0.0544,0.0447,0.0436,0.02,1.93,13.0,14.74,1.05,"""PUERTO RICO SALES TAX FING CORP SALES TAX REV 0%"": 0.0066, ""TEXAS ST 4%"": 0.0057, ""PUERTO RICO COMWLTH AQUEDUCT & SWR AUTH REV 5.25%"": 0.0051, ""BROOKLYN ARENA LOC DEV CORP N Y PILOT REV 5%"": 0.005, ""EAST BATON ROUGE PARISH LA INC INDL DEV BRD REV 0.01%"": 0.0045, ""LOS ANGELES CALIF 4%"": 0.0039, ""NATIONAL FIN AUTH N H MUN CTFS 4.12%"": 0.0034, ""CHICAGO ILL BRD ED 7%"": 0.0033, ""BUCKEYE OHIO TOB SETTLEMENT FING AUTH 0%"": 0.0032",0.4553,2021-05-31,0.0139,0.075,0.004,-0.001,-0.0595,0.032,0.3748,0.0905,0.0857,0.0496,0.0926,2.0,1.0,0.30602,0.22924,-0.18276,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,1.92,0.76,0.83,44.53,20.08,0.43,9.14
647,FLCO,ETF,US,Alger Health Sciences Fund Clas,Alger Health Sciences Fund Class A,USD,Corporate Bond,Alger,PCX,NYSEArca,America/New_York,55270,12470.0,1070205824.0,25.949,26.007,2.014,0.07379,27.294,-1.244,-0.04558,25.28,0.77,0.03046,0.0287,2016-10-03,0.5332,,,0.0035,0.0017,0.9979,0.0,0.027450000000000002,0.0576,0.1105,0.0543,0.0218,0.1311,0.0941,0.0896,0.02445,0.13425,0.0197,2.92,13.24,22.04,1.9649999999999999,"UNH (""UnitedHealth Group Inc""): 0.0598, MRNA (""Moderna Inc""): 0.0363, ABBV (""AbbVie Inc""): 0.0332, TECH (""Bio-Techne Corp""): 0.0311, DHR (""Danaher Corp""): 0.0291, ISRG (""Intuitive Surgical Inc""): 0.0286, IDXX (""IDEXX Laboratories Inc""): 0.028, DXCM (""DexCom Inc""): 0.0273, PODD (""Insulet Corp""): 0.027, VEEV (""Veeva Systems Inc Class A""): 0.027",0.1397,2021-06-30,-0.0187,0.0763,0.018,-0.0011,0.0342,0.0114,0.0269,0.0709,0.0746,0.0499,0.0496,3.0,1.0,0.0994,0.14805,-0.03069,0.06116,0.00022,0.0669,-0.01634,0.0969,0.08358,0.09315,0.13673,-0.01529,0.0373,-0.12,1.6,0.63,52.12,7.6,0.84,3.96
648,FLDR,ETF,US,Alger Health Sciences Fund Clas,Alger Health Sciences Fund Class Z,USD,Ultrashort Bond,Alger,BTS,BATS,America/New_York,23538,21830.0,236389056.0,50.782,50.824,2.46,0.04788,51.38,-0.615,-0.01197,48.92,1.845,0.03771,0.0058,2018-06-12,0.43,,,0.0015,0.0022,0.9979,0.0,0.027450000000000002,0.0576,0.1105,0.0543,0.0218,0.1311,0.0941,0.0896,0.02445,0.13425,0.0197,2.92,13.24,22.04,1.9649999999999999,"UNH (""UnitedHealth Group Inc""): 0.0598, MRNA (""Moderna Inc""): 0.0363, ABBV (""AbbVie Inc""): 0.0332, TECH (""Bio-Techne Corp""): 0.0311, DHR (""Danaher Corp""): 0.0291, ISRG (""Intuitive Surgical Inc""): 0.0286, IDXX (""IDEXX Laboratories Inc""): 0.028, DXCM (""DexCom Inc""): 0.0273, PODD (""Insulet Corp""): 0.027, VEEV (""Veeva Systems Inc Class A""): 0.027",0.1821,2021-06-30,-0.0019,0.0107,0.0007,0.0007,0.0034,0.0038,0.0044,0.0113,0.0233,0.0076,0.0109,2.0,0.0,0.01984,0.04513,-0.07582,0.15879,0.00334,0.0047,0.0081,0.01317,0.00132,3e-05,0.32673,0.01688,0.08189,-0.13,0.32,0.2,20.24,2.43,0.48,3.61
649,FLEE,ETF,US,American Beacon AHL TargetRisk ,American Beacon AHL TargetRisk Fund A,USD,,American Beacon,PCX,NYSEArca,America/New_York,14840,5380.0,250381856.0,29.173,28.877,5.04,0.1665,30.27,-2.0,-0.06607,25.23,3.04,0.12049,0.0164,2017-11-02,0.05,Blend,Large,0.0009,0.0046,0.9969,0.0,0.0832,0.0515,0.1073,0.1239,0.0442,0.1674,0.1365,0.1479,0.0169,0.0773,0.044,1.99,11.09,21.65,1.6,"""United Kingdom of Great Britain and Northern Ireland 0.12%"": 0.0838, ""United States Treasury Bills"": 0.0673, ""United States Treasury Bills 0.01%"": 0.0673, ""Germany (Federal Republic Of) 0.5%"": 0.063",0.1699,2021-05-31,0.1414,0.075,0.0479,-0.001,0.1266,0.032,0.4252,0.0905,0.0908,0.0496,0.0926,2.0,1.0,0.06234,0.2409,-0.14807,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,0.04,1.07,0.9,95.36,19.39,0.49,7.52
650,FLEH,ETF,US,American Funds High-Income Trus,American Funds American High-Income Trust Class C,USD,,American Funds,PCX,NYSEArca,America/New_York,3046,1540.0,16297545.0,28.536,27.476,6.32,0.21315,29.65,-1.4682,-0.04952,23.33,4.8518,0.20796,0.0172,2017-11-02,0.1287,Blend,Large,0.0009,0.0046,0.9922,0.0,0.0834,0.0517,0.108,0.124,0.0442,0.1646,0.1368,0.1485,0.0169,0.0782,0.0436,2.0,11.12,21.63,1.61,"""Sprint Capital Corporation 6.88%"": 0.0098, ""MDC Partners Inc. 7.5%"": 0.009, ""Sprint Capital Corporation 8.75%"": 0.0089, ""Gogo Intermediate Holdings LLC and Gogo Finance Co. Inc. 9.88%"": 0.0087, ""Rotech Healthcare"": 0.0081, ""NGL Energy Operating LLC/ NGL Energy Finance Corp 7.5%"": 0.0078, CHK (""Chesapeake Energy Corp Ordinary Shares - New""): 0.0067, ""Bausch Health Companies Inc 6.12%"": 0.0061, ""Cheniere Energy Inc 4.62%"": 0.0059, ""Foxtrot Escrow Issuer LLC / Foxtrot Escrow Corp 12.25%"": 0.0059",0.1682,2021-05-31,0.1364,0.075,0.0274,-0.001,0.1089,0.032,0.3061,0.0905,0.1052,0.0496,0.0926,2.0,1.0,0.00458,0.2722,-0.06385,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,2.47,0.84,0.94,84.14,16.28,0.61,10.78
651,FLFR,ETF,US,American Funds High-Income Trus,American Funds American High-Income Trust Class F-1,USD,,American Funds,PCX,NYSEArca,America/New_York,861,920.0,7919356.0,31.237,30.724,8.64,0.24573,35.16,-4.7,-0.13367,26.52,3.94,0.14857,0.0127,2017-11-02,0.0456,Blend,Large,0.0009,0.0046,0.9983,0.0,0.0469,0.0429,0.1972,0.1125,0.0617,0.1134,0.1073,0.2252,0.0111,0.0611,0.0206,1.92,11.56,25.34,1.59,"""Sprint Capital Corporation 6.88%"": 0.0098, ""MDC Partners Inc. 7.5%"": 0.009, ""Sprint Capital Corporation 8.75%"": 0.0089, ""Gogo Intermediate Holdings LLC and Gogo Finance Co. Inc. 9.88%"": 0.0087, ""Rotech Healthcare"": 0.0081, ""NGL Energy Operating LLC/ NGL Energy Finance Corp 7.5%"": 0.0078, CHK (""Chesapeake Energy Corp Ordinary Shares - New""): 0.0067, ""Bausch Health Companies Inc 6.12%"": 0.0061, ""Cheniere Energy Inc 4.62%"": 0.0059, ""Foxtrot Escrow Issuer LLC / Foxtrot Escrow Corp 12.25%"": 0.0059",0.5019,2021-05-31,0.1689,0.075,0.0517,-0.001,0.1452,0.032,0.5107,0.0905,0.0842,0.0496,0.0926,2.0,1.0,0.04128,0.26422,-0.1211,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,0.01,1.21,1.0,89.02,22.62,0.47,7.15
652,FLGB,ETF,US,American Beacon AHL TargetRisk ,American Beacon AHL TargetRisk Fund R5 Class,USD,,American Beacon,PCX,NYSEArca,America/New_York,246956,147590.0,235229360.0,25.13,24.963,4.52,0.17325,26.09,-1.75,-0.06708,21.57,2.77,0.12842,0.0232,2017-11-02,0.0726,Value,Large,0.0009,0.0046,0.998,0.0,0.1334,0.0658,0.0805,0.1931,0.0892,0.1888,0.1018,0.0892,0.0135,0.0082,0.0366,1.76,9.48,21.07,1.5,"""United Kingdom of Great Britain and Northern Ireland 0.12%"": 0.0838, ""United States Treasury Bills"": 0.0673, ""United States Treasury Bills 0.01%"": 0.0673, ""Germany (Federal Republic Of) 0.5%"": 0.063",0.3837,2021-05-31,0.1536,0.075,0.0395,-0.001,0.1118,0.032,0.3721,0.0905,0.0285,0.0496,0.0926,1.0,2.0,-0.0887,0.22572,-0.1465,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,-5.99,1.09,0.41,92.58,20.11,0.18,1.58
653,FLGE,ETF,US,American Beacon AHL TargetRisk ,American Beacon AHL TargetRisk Fund Investor Class,USD,Large Growth,American Beacon,PCX,NYSEArca,America/New_York,583,680.0,244150928.0,795.847,690.603,394.84,0.44623,884.84,-92.46905,-0.1045,490.0,302.37097,0.61708,0.0156,2014-06-11,0.3856,,,0.0085,0.0039,0.9979,0.0,0.027450000000000002,0.0576,0.1105,0.0543,0.0218,0.1311,0.0941,0.0896,0.02445,0.13425,0.0197,2.92,13.24,22.04,1.9649999999999999,"""United Kingdom of Great Britain and Northern Ireland 0.12%"": 0.0838, ""United States Treasury Bills"": 0.0673, ""United States Treasury Bills 0.01%"": 0.0673, ""Germany (Federal Republic Of) 0.5%"": 0.063",0.3023,2021-06-30,0.2579,0.048,0.1187,0.0031,0.2339,0.0511,0.9288,0.1242,0.3927,0.1146,0.1705,5.0,1.0,0.64279,0.73866,-0.15264,0.62941,0.03976,0.14094,0.36024,0.16404,0.00687,0.18617,0.41318,-0.41574,0.09633,2.74,2.15,3.5,93.8,41.13,0.99,17.74
654,FLGR,ETF,US,,American Beacon AHL TargetRisk Core Fund R6 Class,USD,,American Beacon,PCX,NYSEArca,America/New_York,4419,1100.0,13925396.0,26.145,26.694,4.462,0.15725,28.376,-3.596,-0.12673,23.914,0.866,0.03621,0.0233,2017-11-02,0.0579,Value,Large,0.0009,0.0046,0.9991,0.0,0.0943,0.0573,0.2205,0.027,0.0,0.1188,0.1093,0.1517,0.0484,0.1392,0.0336,1.79,8.43,19.56,1.16,"""United Kingdom of Great Britain and Northern Ireland 0.12%"": 0.0838, ""United States Treasury Bills"": 0.0673, ""United States Treasury Bills 0.01%"": 0.0673, ""Germany (Federal Republic Of) 0.5%"": 0.063",0.5142,2021-05-31,0.1228,0.075,0.0364,-0.001,0.1143,0.032,0.4268,0.0905,0.069,0.0496,0.0926,2.0,1.0,0.12245,0.21672,-0.22074,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,-2.23,1.23,0.83,89.78,22.96,0.38,5.13
655,FLGV,ETF,US,American Beacon AHL TargetRisk ,American Beacon AHL TargetRisk Fund Y Class,USD,Intermediate Government,American Beacon,PCX,NYSEArca,America/New_York,21187,5480.0,432953408.0,24.004,24.104,1.39,0.0552,25.18,-0.99,-0.03932,23.79,0.4,0.01681,0.0181,2020-06-09,1.0209,,,0.0009,0.0011,0.0,0.9913,0.027450000000000002,0.0576,0.1105,0.0543,0.0218,0.1311,0.0941,0.0896,0.02445,0.13425,0.0197,2.92,13.24,22.04,1.9649999999999999,"""United Kingdom of Great Britain and Northern Ireland 0.12%"": 0.0838, ""United States Treasury Bills"": 0.0673, ""United States Treasury Bills 0.01%"": 0.0673, ""Germany (Federal Republic Of) 0.5%"": 0.063",0.4591,2021-06-30,-0.0252,0.039,0.0061,0.0016,0.0144,-0.0008,-0.0288,0.0313,0.0864,0.0287,0.0195,4.0,2.0,0.07471,0.20515,-0.07582,0.15879,0.01244,0.04138,-0.0225,0.02172,0.07766,0.09089,-0.006,0.12157,0.08189,-0.715,1.02,0.88,78.01,19.66,0.56,8.4
656,FLHK,ETF,US,Invesco High Yield Fund Class C,Invesco High Yield Fund Class C,USD,,Invesco,PCX,NYSEArca,America/New_York,5308,980.0,17868312.0,25.902,27.801,5.03,0.16767,30.0,-4.75,-0.15833,24.97,0.28,0.01121,0.0273,2017-11-02,0.1484,Value,Large,0.0009,0.0046,0.9988,0.0,0.0063,0.0042,0.098,0.0503,0.0023,0.3857,0.0061,0.1436,0.1945,0.0313,0.0777,1.34,9.61,21.82,2.61,"""Macy's, Inc. 8.38%"": 0.0203, TRPXX (""Invesco Shrt-Trm Inv Treasury Instl""): 0.0152, LAPXX (""Invesco Shrt-Trm Inv Liq Assets Instl""): 0.0148, ""Camelot Finance S. A. 4.5%"": 0.0142, ""Aethon United Br Lp / Aethon United Finance Corporation 8.25%"": 0.0133, AGPXX (""Invesco Shrt-Trm Inv Gov&Agcy Instl""): 0.0133, ""ALTICE FRANCE S. A 7.38%"": 0.0128, ""OneMain Financial Corporation 5.38%"": 0.0108, ""T-Mobile US, Inc. 7.88%"": 0.0106, ""AKUMIN INC 7%"": 0.0103",0.5787,2021-05-31,0.1465,0.075,0.0332,-0.001,0.0639,0.032,0.4977,0.0905,0.0655,0.0496,0.0926,2.0,1.0,0.06988,0.11513,-0.1018,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,-1.55,0.95,0.68,67.92,20.46,0.34,5.25
657,FLHY,ETF,US,American Century High-Yield Fun,American Century High-Yield Fund R6 Class,USD,High Yield Bond,American Century Investments,BTS,BATS,America/New_York,30658,11690.0,358595104.0,26.284,26.414,1.1,0.04103,26.81,-0.8878,-0.03311,25.71,0.2122,0.00825,0.0501,2018-05-30,0.5318,Value,Small,0.004,0.0047,0.9979,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.72,9.58,21.69,0.6,"SJNK (""SPDR© Blmbg BarclaysST HY Bd ETF""): 0.0201, SRLN (""SPDR Blackstone Senior Loan ETF""): 0.0197, ""CCO Holdings, LLC/ CCO Holdings Capital Corp. 5.12%"": 0.0116, ""Iron Mountain Incorporated 4.88%"": 0.0095, ""Occidental Petroleum Corporation 6.38%"": 0.0095, ""Altice Financing S. A. 7.5%"": 0.0091, ""Sirius Xm Radio Inc 5%"": 0.0088, ""Caesars Resort Collection LLC/CRC Finco Inc 5.25%"": 0.0087, ""Ford Motor Company 8.5%"": 0.0087, ""International Game Technology PLC 5.25%"": 0.008",0.101,2021-06-30,0.0241,0.1106,0.0122,0.0062,0.0232,0.0434,0.1355,0.0905,0.0821,0.0339,0.0584,2.0,0.0,0.07417,0.16623,-0.07582,0.15879,-0.03739,0.00702,0.0617,0.12132,0.04275,0.11917,0.41327,-0.29406,0.08189,4.6,0.62,0.69,5.47,9.01,0.79,11.3
658,FLIA,ETF,US,American Century High-Yield Fun,American Century High-Yield Fund I Class,USD,World Bond,American Century Investments,BTS,BATS,America/New_York,112975,4420.0,170669152.0,25.102,25.13,0.732,0.0286,25.595,-0.365,-0.01426,24.863,0.367,0.01476,0.0026,2018-05-30,0.7221,,,0.0025,0.0042,0.9979,0.0,0.027450000000000002,0.0576,0.1105,0.0543,0.0218,0.1311,0.0941,0.0896,0.02445,0.13425,0.0197,2.92,13.24,22.04,1.9649999999999999,"SJNK (""SPDR© Blmbg BarclaysST HY Bd ETF""): 0.0201, SRLN (""SPDR Blackstone Senior Loan ETF""): 0.0197, ""CCO Holdings, LLC/ CCO Holdings Capital Corp. 5.12%"": 0.0116, ""Iron Mountain Incorporated 4.88%"": 0.0095, ""Occidental Petroleum Corporation 6.38%"": 0.0095, ""Altice Financing S. A. 7.5%"": 0.0091, ""Sirius Xm Radio Inc 5%"": 0.0088, ""Caesars Resort Collection LLC/CRC Finco Inc 5.25%"": 0.0087, ""Ford Motor Company 8.5%"": 0.0087, ""International Game Technology PLC 5.25%"": 0.008",0.1703,2021-06-30,-0.0174,0.09,0.003,0.0047,0.0004,0.024,-0.0053,0.0846,0.0278,0.0026,0.0071,2.0,0.0,0.01315,0.09835,-0.07582,0.15879,-0.06098,0.00267,-0.01008,0.09486,0.00316,0.03124,0.12523,0.04216,0.15297,-1.29,0.71,0.23,27.68,4.65,0.34,2.13
659,FLIN,ETF,US,Aberdeen Short Duration High Yi,Aberdeen Short Duration High Yield Municipal Fund Institutional Class,USD,,Aberdeen,PCX,NYSEArca,America/New_York,13546,9900.0,27966498.0,33.167,30.381,9.73,0.28425,34.23,-2.2423,-0.06551,24.5,7.4877,0.30562,0.0061,2018-02-06,0.2348,Blend,Large,0.0019,0.0046,0.9992,0.0,0.1168,0.0346,0.09,0.0915,0.1332,0.2107,0.0598,0.0483,0.0074,0.1706,0.0371,3.17,14.73,27.29,2.79,"""MARYLAND INDL DEV FING AUTH PORT FACS REV 1.88%"": 0.038, ""MERIDIAN MISS CUSTODIAL RCPTS 4.2%"": 0.027, ""MADISON CNTY N Y CAP RESOURCE CORP REV 5.5%"": 0.0199, ""ARIZONA INDL DEV AUTH ECONOMIC DEV REV 6.75%"": 0.0198, ""BUCKEYE OHIO TOB SETTLEMENT FING AUTH 5%"": 0.0196, ""APPLING CNTY GA DEV AUTH POLLUTN CTL REV 0.11%"": 0.0194, ""DE KALB CNTY GA HSG AUTH MULTIFAMILY HSG REV 1.81%"": 0.0152, ""MISSISSIPPI BUSINESS FIN CORP MISS REV 1.8%"": 0.0152, ""SHAKOPEE MINN SR HSG REV 5.85%"": 0.015, ""LOUISVILLE KY REGL ARPT AUTH SPL FACS REV 0.14%"": 0.0146",0.4181,2021-05-31,0.1322,0.075,0.0796,-0.001,0.0911,0.032,0.6418,0.0905,0.1005,0.0496,0.0926,2.0,0.0,0.15159,0.04928,-0.07582,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,2.63,0.97,1.04,50.43,24.05,0.46,8.93
660,FLIY,ETF,US,American Century High-Yield Fun,American Century High-Yield Fund R Class,USD,,American Century Investments,PCX,NYSEArca,America/New_York,309,440.0,4243902.0,27.771,27.362,5.339,0.18338,29.115,-2.4283,-0.0834,23.776,2.9107,0.12242,0.0204,2017-11-02,0.1745,Value,Large,0.0009,0.0046,0.9918,0.0,0.007,0.0323,0.1944,0.0162,0.0795,0.2597,0.0381,0.1067,0.0,0.0224,0.2437,1.29,5.22,22.98,0.82,"SJNK (""SPDR© Blmbg BarclaysST HY Bd ETF""): 0.0201, SRLN (""SPDR Blackstone Senior Loan ETF""): 0.0197, ""CCO Holdings, LLC/ CCO Holdings Capital Corp. 5.12%"": 0.0116, ""Iron Mountain Incorporated 4.88%"": 0.0095, ""Occidental Petroleum Corporation 6.38%"": 0.0095, ""Altice Financing S. A. 7.5%"": 0.0091, ""Sirius Xm Radio Inc 5%"": 0.0088, ""Caesars Resort Collection LLC/CRC Finco Inc 5.25%"": 0.0087, ""Ford Motor Company 8.5%"": 0.0087, ""International Game Technology PLC 5.25%"": 0.008",0.6536,2021-05-31,0.1419,0.075,0.0644,-0.001,0.1198,0.032,0.5157,0.0905,0.0769,0.0496,0.0926,2.0,1.0,0.03217,0.27988,-0.17091,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,-2.12,1.36,0.94,83.52,26.41,0.38,5.0
661,FLJH,ETF,US,American Century High Yield Fd ,American Century High-Yield Fund A Class,USD,,American Century Investments,PCX,NYSEArca,America/New_York,5090,6790.0,23909412.0,32.021,31.045,6.003,0.1803,33.295,-2.2966,-0.06898,27.292,3.7064,0.13581,0.0156,2017-11-02,0.1006,Blend,Large,0.0009,0.0046,0.9979,0.0,0.0622,0.0848,0.1546,0.067,0.0138,0.0892,0.0979,0.2221,0.0382,0.1568,0.0134,1.42,9.6,20.8,1.07,"SJNK (""SPDR© Blmbg BarclaysST HY Bd ETF""): 0.0201, SRLN (""SPDR Blackstone Senior Loan ETF""): 0.0197, ""CCO Holdings, LLC/ CCO Holdings Capital Corp. 5.12%"": 0.0116, ""Iron Mountain Incorporated 4.88%"": 0.0095, ""Occidental Petroleum Corporation 6.38%"": 0.0095, ""Altice Financing S. A. 7.5%"": 0.0091, ""Sirius Xm Radio Inc 5%"": 0.0088, ""Caesars Resort Collection LLC/CRC Finco Inc 5.25%"": 0.0087, ""Ford Motor Company 8.5%"": 0.0087, ""International Game Technology PLC 5.25%"": 0.008",0.2028,2021-04-30,0.0587,0.075,-0.0309,-0.001,0.0503,0.032,0.3513,0.0905,0.067,0.0496,0.0926,2.0,1.0,0.09444,0.20515,-0.13956,0.15879,-0.00632,0.05858,0.2079,0.14212,-0.01711,0.16532,0.32673,-0.39004,0.08189,1.18,0.78,0.66,63.61,17.32,0.38,6.86
